customer_id,age,gender,country,avg_order_value,total_orders,last_purchase,is_fraudulent,preferred_category,email_open_rate,customer_since,loyalty_score,churn_risk
CUST_8270,30,Female,Brazil,101.08,8,176,1,Beauty,25.6,2024-06-05,50,0.2
CUST_1860,53,Female,USA,90.39,10,88,0,Electronics,12.3,2024-02-19,37,0.34
CUST_6390,73,Male,Australia,83.28,6,203,0,Sports,,2024-04-16,65,0.05
CUST_6191,30,Other,Japan,109.9,9,346,1,Electronics,42.9,2020-07-08,93,0.19
CUST_6734,29,Female,Canada,269.38,16,342,0,Fashion,5.3,2025-04-09,79,0.15
CUST_7265,54,Male,Canada,114.31,11,210,0,Beauty,56.5,2021-10-02,44,0.21
CUST_1466,27,Female,Canada,34.03,7,212,0,Electronics,0.2,2021-12-19,60,0.39
CUST_5426,77,Female,Brazil,171.25,9,20,0,Electronics,15.1,2021-02-09,29,0.24
CUST_6578,73,Female,Australia,116.79,10,87,0,Sports,14.7,2020-09-02,85,0.37
CUST_9322,26,Male,France,55.93,4,12,0,Fashion,68.8,2024-02-25,63,0.52
CUST_2685,69,Female,India,128.78,7,119,0,Fashion,48.6,2024-10-06,76,0.11
CUST_1769,24,Female,Canada,88.23,14,177,0,Beauty,83.6,2024-05-05,26,0.12
CUST_7949,19,Male,India,77.24,12,128,0,Home,26.5,2021-06-28,45,0.63
CUST_3433,71,Female,Brazil,91.39,8,50,0,Home,21.1,2022-07-15,95,0.34
CUST_6311,73,Female,India,131.23,7,41,0,Sports,80.3,2024-05-21,35,0.61
CUST_6051,77,Female,China,95.89,9,317,0,Beauty,44.4,2021-04-26,78,0.23
CUST_7420,40,Male,Brazil,107.03,11,94,0,Sports,27.4,2021-11-10,7,0.27
CUST_2184,56,Female,India,123.34,8,241,0,Beauty,41.8,2024-10-24,67,0.13
CUST_5555,57,Female,USA,87.13,8,355,0,Fashion,42.5,2023-11-27,53,0.33
CUST_4385,56,Male,Canada,58.03,11,60,0,Home,57.2,2022-10-30,41,0.2
CUST_7396,38,Male,Germany,32.99,11,348,0,Electronics,3.8,2025-01-23,4,0.15
CUST_9666,40,Female,UK,191.86,8,227,0,Home,24.8,2024-06-30,2,0.31
CUST_3558,46,Female,Brazil,127.42,8,276,0,Beauty,46.7,2020-11-16,35,0.1
CUST_8849,31,Male,Japan,186.72,7,17,0,Home,54.2,2021-05-22,33,0.08
CUST_3047,43,Female,UK,105.48,15,243,0,Electronics,15.9,2020-08-10,50,0.38
CUST_3747,68,Male,France,220.27,1,310,0,Fashion,19.4,2023-02-15,13,0.25
CUST_1189,22,Female,Brazil,137.27,6,323,0,Fashion,72.8,2021-04-21,7,0.43
CUST_3734,72,Other,Brazil,64.45,12,46,0,Beauty,78.6,2023-12-01,39,0.37
